Dataset,Sample1,Sample2,Incoherent_Sample
incoherent_sentences_arg2_random.json,"Nancy Igdaloff may be a good prospect for such a gizmo. Because the stress study was undertaken because problems related to stress ""are much more prevalent than they seem. 
","Nancy Igdaloff may be a good prospect for such a gizmo. Because she's trying to sell a $150 exercise bike she bought about five years ago for her roommate. 
",1
incoherent_sentences_arg2_random.json,"CBS took to get an unprecedented lock on all playoff games. But if the playoffs end in four-game sweeps, losses could soar. 
","CBS took to get an unprecedented lock on all playoff games. But they long made little effort here. 
",2
incoherent_sentences_arg2_random.json,"Midsized cars accounted for the greatest growth in units, rising 62,872 units to 134,550 units, or 88%. While unless the Federal Reserve eases interest rates soon to stimulate the economy, profits could remain disappointing. 
","Midsized cars accounted for the greatest growth in units, rising 62,872 units to 134,550 units, or 88%. While minicar output more than tripled. 
",1
incoherent_sentences_arg2_random.json,"Litigation Sciences concedes that in one in 20 cases it was flatout wrong in its predictions. Furthermore every issue is multisided. 
","Litigation Sciences concedes that in one in 20 cases it was flatout wrong in its predictions. Furthermore a few attorneys offer horror stories of jobs botched by consultants or of overpriced services. 
",1
incoherent_sentences_arg2_random.json,"With less capital coming in, China's balance of payments would suffer. For example determining when handicapped access is required can be a nightmare for architects. 
","With less capital coming in, China's balance of payments would suffer. For example the Western government report's first scenario assumes a 30% reduction in foreign borrowing and a 5% contraction in foreign direct investment. 
",1
incoherent_sentences_arg2_random.json,"But many economists were not nearly as jubilant. Because so far it hasn't had any noticeable effect on response rates. 
","But many economists were not nearly as jubilant. Because the climb in wholesale energy prices is certain to push up retail energy prices in the next few months. 
",1
incoherent_sentences_arg2_random.json,"Having a proposal sponsored by Democrats would have given the president an advantage. By contrast having only a Republican measure makes the task harder. 
","Having a proposal sponsored by Democrats would have given the president an advantage. By contrast he lived with her. 
",2
incoherent_sentences_arg2_random.json,"But many consumers probably will use the extra time to put off some purchasing until the last minute. So trucking, shipping and air-freight firms are all planning rate increases, reflecting higher costs and tightened demand. 
","But many consumers probably will use the extra time to put off some purchasing until the last minute. So what you'll hear as we get into December is that sales are sluggish. 
",1
incoherent_sentences_arg2_random.json,"The rate among the elderly -- 12% in 1988 -- wasn't significantly lower than the year before. In fact if it weren't for Social Security payments, more than three times as many elderly would be below the poverty line. 
","The rate among the elderly -- 12% in 1988 -- wasn't significantly lower than the year before. In fact santa Cruz County estimates total damage at nearly $600 million. 
",2
incoherent_sentences_arg2_random.json,"One big technology issue, Novell, rode the roller coaster. Specifically the stock, which finished Monday at 29 1/2, traded as high as 29 3/4 and as low as 28 3/4 before closing at 29 1/4, down 1/4. 
","One big technology issue, Novell, rode the roller coaster. Specifically talk hurts from where it spurts,"" one of them says. 
",2
